CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,risk_DISCHARGE_CO_0631,risk_SANITARY_CO_2115,risk_SANITARY_EPA,critical_violation_any,sanitary_epa_minus_co
11718,2005-05-24 00:00:00,BOGOTA_CUN_CHIA_PTE.EL COMUN,CUNDINAMARCA,CHÍA,4.863694444,-74.02911111,0.0,53.97,53.57,1,-0.3999999999999986
11719,2005-05-24 00:00:00,RCA_BOGOTA_CUN_COTA_PTE.LA VIRGEN [21208110],CUNDINAMARCA,COTA,4.799322222,-74.09586944,0.0,54.69,54.46,1,-0.22999999999999687
11726,2005-05-24 00:00:00,RCA_CHICAMOCHA_BOY_TIBASOSA_SAN RAFAEL [24037190],BOYACÁ,TIBASOSA,5.807611111,-73.01380556,0.0,51.02,49.35,1,-1.6700000000000017
11727,2005-05-24 00:00:00,RCA_LAG.DE TOTA_BOY_AQUITANIA_ESCALERAS [35097070],BOYACÁ,TOTA,5.491944444,-72.9385,0.0,0.0,0.0,0,0.0
11728,2005-05-24 00:00:00,RCA_CHICAMOCHA_BOY_SOGAMOSO_PTE.CHAMEZA [24037290],BOYACÁ,SOGAMOSO,5.759888889,-72.90652778,0.0,54.62,54.38,1,-0.23999999999999488
11739,2005-05-18 00:00:00,RCA_GUATIQUIA_MET_VILLAVICENCIO_PTE.ABADIA [35037100],META,VILLAVICENCIO,4.235333333,-73.63536111,0.0,56.86,56.86,1,0.0
11740,2005-05-20 00:00:00,RCA_OCOA_MET_VILLAVICENCIO_PTE.DELAMOR [35037130],META,VILLAVICENCIO,4.086083333,-73.668861,0.0,73.36,32.09,1,-41.269999999999996
11742,2005-05-25 00:00:00,RCA_BOGOTA_CUN_SOACHA_ALICACHIN - EL SALTO [21207120],CUNDINAMARCA,SOACHA,4.544847222,-74.25826944,0.0,56.38,56.36,1,-0.020000000000003126
11744,2005-05-25 00:00:00,RCA_BOGOTA_CUN_EL COLEGIO_PTE.CARRETERA LA MESA - MESITAS,CUNDINAMARCA,EL COLEGIO,4.598969,-74.43601,22.92,56.82,56.81,1,-0.00999999999999801
11746,2005-05-25 00:00:00,RCA_BOGOTA_CUN_TOCAIMA_PTE.PORTILLO [21207960],CUNDINAMARCA,TOCAIMA,4.454861111,-74.60852778,51.95,57.01,57.01,1,0.0
11747,2005-05-27 00:00:00,RCA_BOGOTA_CUN_GIRARDOT_CAMPINA LA [21209200],CUNDINAMARCA,GIRARDOT,4.304888889,-74.793777778,53.48,57.05,57.05,1,0.0
11748,2005-05-26 00:00:00,RCA_MAGDALENA_CUN_GIRARDOT_GIRARDOT [21237030],CUNDINAMARCA,GIRARDOT,4.288073,-74.808592,23.01,57.05,57.05,1,0.0
11749,2005-05-26 00:00:00,RCA_MAGDALENA_TOL_FLANDES_ISLA DEL AMOR,TOLIMA,FLANDES,4.281944444,-74.77694444,22.97,56.9,56.9,1,0.0
11750,2005-05-27 00:00:00,RCA_SUMAPAZ_TOL_MELGAR_LIMONAR EL [21197150],TOLIMA,MELGAR,4.232555556,-74.62055556,0.0,56.58,56.57,1,-0.00999999999999801
11751,2005-05-27 00:00:00,RCA_SUMAPAZ_CUN_RICAURTE_SAN MIGUEL-SUMAPAZ [2119700147],CUNDINAMARCA,RICAURTE,4.248085,-74.744647,22.96,56.91,56.91,1,0.0
11755,2005-05-31 00:00:00,RCA_CHICAMOCHA_BOY_PAZ DE RIO_PAZ DE RIO [24037510],BOYACÁ,PAZ DE RIO,5.9877472,-72.744522222,0.0,53.41,52.86,1,-0.5499999999999972
11797,2005-06-02 00:00:00,MAGDALENA/CANAL DEL DIQUE_ATL_SANTA LUCIA_INCORA K-7 [29037360],ATLANTICO,SANTA LUCIA,10.30280833,-74.94655833,33.2,56.91,56.91,1,0.0
11798,2005-05-24 00:00:00,RCA_CANAL DEL DIQUE_BOL_MARIA LA BAJA_STA.HELENA1[29037370],BOLÍVAR,MARÍA LA BAJA,10.05861111,-75.40277778,33.24,56.99,56.99,1,0.0
11799,2005-06-01 00:00:00,RCA_MAGDALENA_BOL_CALAMAR_CALAMAR [29037020],BOLÍVAR,CALAMAR,10.244042,-74.914705,33.21,56.91,56.91,1,0.0
11895,2005-06-15 00:00:00,RCA_DE ORO_SAN_PIEDECUESTA_CONQUISTADOR EL [23197430],SANTANDER,PIEDECUESTA,6.989444444,-73.04111111,0.0,55.43,55.32,1,-0.10999999999999943
11896,2005-06-15 00:00:00,LEBRIJA_SAN_GIRON_CAFE MADRID [23197290],SANTANDER,GIRÓN,7.17,-73.15,0.0,55.39,55.28,1,-0.10999999999999943
11904,2005-06-16 00:00:00,RCA_CRAVO SUR_CAS_YOPAL_PTE.YOPAL [35217010],CASANARE,YOPAL,5.369,-72.41372222,32.89,56.79,56.78,1,-0.00999999999999801
11905,2005-06-14 00:00:00,RCA_CUSIANA_CAS_MANI_MANI [35197180],CASANARE,MANÍ,4.817,-72.29138889,33.17,56.99,56.99,1,0.0
11924,2005-05-01 00:00:00,RCA_SAN JORGE_COR_BUENAVISTA_MARRALU [25027120],CORDOBA,AYAPEL,8.32,-75.24,0.0,86.57,86.51,1,-0.05999999999998806
11925,2005-05-29 00:00:00,RCA_SAN JORGE_COR_MONTELIBANO_MONTELIBANO [25017010],CORDOBA,MONTELÍBANO,7.98817,-75.417483,32.66,56.58,56.57,1,-0.00999999999999801
11954,2005-07-08 00:00:00,RCA_GUATIQUIA_MET_VILLAVICENCIO_PTE.ABADIA [35037100],META,VILLAVICENCIO,4.235333333,-73.63536111,32.42,56.31,56.28,1,-0.030000000000001137
11955,2005-06-21 00:00:00,RCA_COMBEIMA_TOL_IBAGUE_MONTEZUMA [21217180],TOLIMA,IBAGUÉ,4.4819444,-75.28611111,0.0,45.86,0.0,1,-45.86
11956,2005-06-24 00:00:00,COMBEIMA_TOL_IBAGUE_YULDAIMA [21217260],TOLIMA,IBAGUÉ,4.4385,-75.24280556,0.0,48.74,45.24,1,-3.5
11957,2005-06-29 00:00:00,RCA_RECIO_TOL_VENADILLO_NUEVA LA [21257100],TOLIMA,VENADILLO,4.795083333,-74.97194444,59.82,56.82,56.81,1,-0.00999999999999801
11958,2005-06-20 00:00:00,RCA_COELLO_TOL_SAN LUIS_PAYANDE [21217070],TOLIMA,SAN LUIS,4.3013407,-75.0903693,0.0,52.63,51.78,1,-0.8500000000000014
11983,2005-07-16 00:00:00,RCA_CAUCA_RIS_LA VIRGINIA_LA VIRGINIA [26177030],RISARALDA,LA VIRGINIA,4.8925,-75.882694444,0.0,55.98,55.93,1,-0.04999999999999716
11998,2005-07-18 00:00:00,RCA_CHICAMOCHA_BOY_PAZ DE RIO_PAZ DE RIO [24037510],BOYACÁ,PAZ DE RIO,5.9877472,-72.744522222,0.0,54.94,54.76,1,-0.17999999999999972
